,Whole_1_cross,Whole_2_cross,Whole_3_cross,Whole_4_cross,IT&Comm_1_cross,IT&Comm_2_cross,IT&Comm_3_cross,IT&Comm_4_cross,Health_1_cross,Health_2_cross,Health_3_cross,Health_4_cross,Con Dis_1_cross,Con Dis_2_cross,Con Dis_3_cross,Con Dis_4_cross,Fin&Estate_1_cross,Fin&Estate_2_cross,Fin&Estate_3_cross,Fin&Estate_4_cross,Ind_1_cross,Ind_2_cross,Ind_3_cross,Ind_4_cross,En&Util_1_cross,En&Util_2_cross,En&Util_3_cross,En&Util_4_cross,Materials_1_cross,Materials_2_cross,Materials_3_cross,Materials_4_cross,Con Stpl_1_cross,Con Stpl_2_cross,Con Stpl_3_cross,Con Stpl_4_cross,Whole_1_serial,Whole_2_serial,Whole_3_serial,Whole_4_serial,IT&Comm_1_serial,IT&Comm_2_serial,IT&Comm_3_serial,IT&Comm_4_serial,Health_1_serial,Health_2_serial,Health_3_serial,Health_4_serial,Con Dis_1_serial,Con Dis_2_serial,Con Dis_3_serial,Con Dis_4_serial,Fin&Estate_1_serial,Fin&Estate_2_serial,Fin&Estate_3_serial,Fin&Estate_4_serial,Ind_1_serial,Ind_2_serial,Ind_3_serial,Ind_4_serial,En&Util_1_serial,En&Util_2_serial,En&Util_3_serial,En&Util_4_serial,Materials_1_serial,Materials_2_serial,Materials_3_serial,Materials_4_serial,Con Stpl_1_serial,Con Stpl_2_serial,Con Stpl_3_serial,Con Stpl_4_serial
Health_2_serial,-0.0016120194,0.0007607612,-8.170918e-05,0.0022976184,-1.7025533e-06,0.00029873094,-0.00032638235,-0.00045068937,0.000742323,-0.00066380907,-0.00028103925,0.0009037668,-0.0019606915,0.0024437688,-0.0010789542,0.0011399229,-0.0019160876,0.0022095472,0.0001314756,0.0017959919,0.0002625867,0.0023128365,0.0010603237,-0.00080887316,6.5809227e-06,0.0014862594,0.0002178393,0.00057738967,0.0012311151,-0.0013182932,0.000784353,0.00021694691,0.0015365209,0.0002785318,-0.0001602876,0.0027315933,-0.0008088682,-0.00037047514,-6.602365e-05,-0.00020706662,-0.00080024166,-0.0014898262,-0.0012361797,-0.0010221461,-1.6516433e-05,-0.0026449598,0.0007271626,0.0016268763,-0.0029975714,0.0030184428,-0.0015420938,-0.00014621195,-0.003441662,0.0024556348,-0.00015572127,0.002479471,-0.0008423428,0.002425297,0.00014367099,-0.0014156015,-0.00039048548,-0.00016785356,-0.00097597775,0.0005919606,0.0002237713,-0.0034349062,0.00018373293,-0.00022544984,0.00084390194,-0.00016993607,-0.0012693523,0.0033273657
Health_3_serial,0.0015199025,-0.0030890796,0.0025036598,-0.00096031494,0.0005271449,-0.00020232455,0.00046691438,0.00020009604,-0.00019494683,-0.0003727945,0.0011360047,-0.00044516454,0.0016102643,-0.002327498,0.0015817485,4.321471e-05,0.00055778824,-0.0013061226,-0.00063954486,-0.0007812368,-4.309603e-05,-0.0011439034,-0.00033242794,0.00024571837,-0.00044420848,-0.00026773164,-0.00014928603,0.00010417952,-0.0010098462,0.00092648744,-0.00019264779,-0.000274433,-0.0006521337,-0.00073132885,0.0010157527,-0.0013587992,0.00047064727,-0.0016230971,0.001081823,-0.00083750236,0.00096088514,0.0003302662,0.0007860001,0.001097528,-6.0916995e-05,0.00092794304,0.00088645035,-0.0008968396,0.0030991125,-0.003525334,0.0028310246,0.00076095504,0.0018735835,-0.0020713422,-0.00067857286,-0.00042299487,-4.3513515e-05,-0.0016785244,-0.00043720164,0.0010911922,-0.00033376573,-6.3871516e-07,-0.00057593815,-0.0007563534,-0.002082383,0.0015164565,0.0010818637,0.00036535825,-0.00016320281,-0.00082815706,0.0019396973,-0.0018488743
Health_4_serial,0.0039618677,-0.0017953344,0.006916086,0.002550509,0.0002918267,-0.0019524746,-7.4240204e-05,-0.0005676323,-0.0005307255,-0.0015844026,1.5970905e-05,0.00039132554,0.00027140885,-0.0029355302,0.00040967425,-0.00033869804,-0.0006294484,-0.0030758518,-0.0018068952,-2.4787656e-05,-0.00052119984,-0.0010123167,0.0006192885,-0.0009380039,-0.00019612045,-0.0015992923,7.636879e-05,0.0007291989,-0.0015600339,-0.00041796864,-0.0008721166,-0.000304425,-0.00023361383,-0.0021205468,0.0006246219,-0.00097339,0.0024124742,-0.0024357815,0.0043745995,0.003303539,-8.9593406e-05,-0.001524607,0.00070930226,0.0009053628,0.00029315572,0.0018051487,-0.0006560788,0.00054854667,0.0015457672,-0.0034785136,0.0020598338,0.0015505534,0.0002121831,-0.00422728,-0.0006462652,0.00027442604,-0.00014791678,-0.001193296,0.00090949,0.00080301304,0.0004648402,-0.0012877,0.00021480996,0.0006580317,-0.0023980606,5.3878248e-05,0.00045412852,0.0005667338,0.0013108848,-0.0028005105,0.0026746758,-0.0006150425
Con Dis_1_serial,-0.0055926773,0.0023865132,-0.0076924106,-0.0008714042,-0.0002222491,0.003010679,0.0001931267,0.00019473444,0.0016795847,0.0018845719,0.0011275394,9.202739e-05,-0.001217972,0.005241052,-0.0011129127,0.0017079191,-0.0014693075,0.005824324,0.0026230412,0.0017067278,0.0012666424,0.0039057534,1.2624614e-05,0.00047995293,0.00027302257,0.002835027,0.0014174978,0.00014510361,0.001931703,0.0012896543,0.00061580894,-0.00034105466,0.0016475939,0.00280722,0.0004993235,0.0030113326,-0.0037403463,0.0025028565,-0.0046002935,-0.0042722323,-0.0011026845,0.0005393948,-0.0024828175,-0.0021024675,-0.00013481553,-0.0041903695,0.002280142,0.0010688253,-0.004085925,0.005297181,-0.0039240606,-0.0017289986,-0.0039117485,0.0059954035,0.00043261333,0.0030522912,-0.0010634285,0.0046525463,-0.0018706091,-0.0023819213,-0.0012891748,-0.00053302676,1.0760536e-05,-0.0008425806,0.0001785887,-0.0022365502,-0.0018639474,-0.001979264,-0.0015025733,0.0031916662,-0.0035191355,0.003654628
Con Dis_2_serial,0.0047145113,-0.0029203296,0.0068948204,0.00046588056,0.00037506255,-0.0016854415,-0.0002247451,0.00029961442,-0.0011855661,-0.0020547104,0.0012990616,-0.00071517716,0.0011999132,-0.0045287088,0.0019801084,-0.0007567197,9.195518e-05,-0.0026093577,-0.0021840683,-0.00083004765,-0.0004933759,-0.002881537,-0.00056662125,-0.00014623496,-0.0011985233,-0.00087305304,-0.0017349952,-0.000488538,-0.0012295629,-0.0009792713,-0.00018248809,-0.0003787708,-0.0012231481,-0.0018309037,0.000536391,-0.0023236065,0.0019932822,-0.0030343456,0.0029351981,0.0015327585,0.0005996225,-1.1902202e-05,0.0015578965,0.0020128044,0.000230245,0.0015822438,0.0012344981,-0.0019060244,0.0031313119,-0.0036807032,0.0047891997,0.001373128,0.0021239468,-0.0025175845,-0.00063232624,-0.0029665888,0.0006304307,-0.0028515728,0.0005579926,0.0022879748,0.0013032877,0.0014035635,-0.0014976988,-0.00064482144,-0.0014291649,0.0016312227,0.00085011567,0.0007255592,0.00094288087,-0.0015771256,0.0034225578,-0.0022996285
Con Dis_3_serial,-0.0068755355,0.0028511956,-0.008180177,-0.0028917491,-0.00029882003,0.003569042,0.0006448821,0.0004882583,0.0017467822,0.002565331,0.0022341728,-8.710772e-05,-0.00058801443,0.004721413,-0.00030297987,0.0025328728,-0.0013191971,0.00839474,0.0029452613,0.0018426211,0.001448266,0.0025770743,-2.0202398e-05,0.0009555766,-0.00042663483,0.004701361,0.00064526155,9.024173e-05,0.0020238769,0.0018508054,0.0012325271,-0.00042032573,0.002288426,0.0026345367,0.0013731368,0.0033487016,-0.0056886077,0.0033839133,-0.0064027035,-0.0058751823,-0.0014741792,0.0013043652,-0.002078141,-0.0020649836,-0.00010044527,-0.0040747444,0.0032477058,0.00027780526,-0.0035137285,0.0055249254,-0.003119309,-0.0017792197,-0.0037317458,0.008674212,0.001144391,0.0016742684,-0.00052243326,0.0027506333,-0.0018039442,-0.0018027251,-0.0023926834,0.0026762162,-0.0021941941,-0.0013368385,-0.000105972555,-0.0018157284,-0.0025072363,-0.0036124447,-0.0009985331,0.0027904254,-0.0028892742,0.004324713
Con Dis_4_serial,-0.004269614,0.0030532703,-0.00865871,-0.0018927167,-0.0012186461,0.0032454033,-0.0006499541,0.00047432684,0.00077141414,0.002450784,-9.5173375e-05,-0.0007185493,-8.46846e-05,0.003730402,-0.0008254429,0.00033560194,0.00073358964,0.0038758104,0.0024951284,5.7893405e-05,0.00072088966,0.0010389914,-0.00048246,0.0011168187,0.00011208051,0.0014609804,0.0010992521,-0.00061883294,0.0013954306,0.0014439524,0.0006303397,0.00010034504,0.0004483204,0.0023736414,0.0003763746,0.00081520877,-0.003019575,0.0028790457,-0.0050621834,-0.003496901,-0.0013587765,0.0022452371,-0.0021028807,-0.0013405919,-0.00030547558,-0.0017777443,0.0013025885,-0.00038693025,-0.002121487,0.004128917,-0.0028782438,-0.002306247,-0.00083855574,0.0049075764,0.00052431057,0.00048277527,6.580451e-05,0.0018067507,-0.0012645194,-0.0009927393,-0.0009714787,-0.00031241353,0.00077102054,-0.0013039632,0.0015139861,0.00026266286,-0.0009089548,-0.0010442741,-0.0018746377,0.0032420023,-0.0022708322,0.00047675008
Fin&Estate_1_serial,-0.007385026,0.002907147,-0.009715034,-0.0031451832,-0.00066364947,0.0036390543,0.00042495856,0.00015355031,0.001765467,0.0032233347,-0.00016145359,0.00030477467,-0.00019902931,0.0050687827,-0.00096247485,0.002028385,0.00043725612,0.006181295,0.0031674234,0.00086784863,0.0009161081,0.001993348,0.0005505429,0.0009998719,0.00040515934,0.0034943363,0.0015302188,0.00041763668,0.0016807575,0.0022454003,0.0011772339,0.00043524674,0.0021100468,0.0022873161,0.00094845454,0.0030129412,-0.0050134636,0.003849376,-0.006051317,-0.004982886,-0.0010857576,0.0014483716,-0.0020070758,-0.002101789,-0.00039605336,-0.0023825853,0.0007535875,0.001039684,-0.0022111156,0.00430843,-0.003912898,-0.001992708,-0.0019303606,0.0063132783,0.0009174671,0.0025582463,-0.00038669,0.0012099771,-0.0012078229,-0.0018910365,-0.003198454,0.0012589217,-0.00089145865,-0.00063937425,0.00072346197,-0.0014002565,-0.00062282116,-0.0022264586,-0.0011001129,0.0019128423,-0.0029819214,0.0027047803
Fin&Estate_2_serial,0.008306827,-0.0035268462,0.010687528,0.0033735994,-0.00038489338,-0.0036970624,-0.00079196907,-0.0008008424,-0.002292155,-0.0021430675,-0.0020581451,-2.7230855e-05,0.0016054533,-0.0069072205,0.0008650506,-0.0025593191,0.0018355371,-0.008900071,-0.0034382928,-0.0021771193,-0.0017277242,-0.0048537184,0.00058218895,-0.0010707385,-0.00012286147,-0.005092399,-0.00046281115,0.00042117666,-0.0031231144,-0.0011668759,-0.0010654398,0.0004219428,-0.0022667071,-0.00424751,5.2603118e-05,-0.004309039,0.005894964,-0.0039630174,0.0073083304,0.006431039,0.000635444,-0.0009730507,0.0022846886,0.0024895614,-2.4601768e-05,0.0061956034,-0.0034104704,-0.0005685088,0.005387985,-0.008069694,0.004687061,0.0020904774,0.0048642927,-0.0097847935,-0.0011689833,-0.0023129422,0.0010005807,-0.005391813,0.0026018822,0.0028165474,0.0013442982,-0.0022618913,0.0017034069,0.0012438981,-0.00145197,0.003183414,0.0032192424,0.0033116792,0.0018144367,-0.0049598454,0.0054995543,-0.0052641793
Fin&Estate_3_serial,0.0027768025,-0.0024171884,0.0034005425,-0.0021216106,0.001033496,-0.00074841647,0.00060419005,0.0007056928,-0.00027931054,-0.0009542769,0.0019228293,-0.0009356472,0.0020146316,-0.003177141,0.0021272327,-0.00040182724,0.0005854082,-0.0018218725,-0.00094576605,-0.001269828,-1.0664001e-05,-0.0014581345,-0.0013421085,0.00062767655,-0.0005504021,-0.0005123568,-0.0007396815,-0.00056923303,-0.0013922335,0.0011098598,-0.0012523548,-0.00086505496,-0.001248629,-0.00033048738,0.00067755947,-0.0023777867,0.000796349,-0.0014754797,0.0014920818,0.0001503831,0.0012447746,0.0006330638,0.0014135832,0.0016710629,0.00045633348,0.0011247654,0.0013388896,-0.0018044319,0.0032980118,-0.0035341375,0.0033947562,0.0011417341,0.0022354657,-0.0024971513,-0.00040377525,-0.0021109888,0.0002532094,-0.0016010115,-0.00091079046,0.0016588211,0.0009517994,0.0005463459,-0.00042482305,-0.0012103476,-0.0022552162,0.0022581143,-0.0008013619,-0.00030408983,-0.00057611585,0.00016561091,0.001901333,-0.002520124
