,,FISERV INC,KLA CORP,NINTENDO CO LTD,LAM RESEARCH CORP,TRIP COM GROUP LTD,SALESFORCE.COM INC,NETEASE INC,CERNER CORP,SKYWORKS SOLUTIONS INC,INTERCONTINENTAL EXCHANGE,MICROSTRATEGY INC,XILINX INC,ADVANCED MICRO DEVICES,ANSYS INC,MICRON TECHNOLOGY INC,LIVEPERSON INC,MERCADOLIBRE INC,ONTO INNOVATION INC,ASML HOLDING NV,NVIDIA CORP,BOOKING HOLDINGS INC,ALPHABET INC,ANALOG DEVICES,ADVANCED ENERGY INDS INC,BAIDU INC,EBAY INC,APPLE INC,CADENCE DESIGN SYSTEMS INC,ACTIVISION BLIZZARD INC,AMAZON.COM INC,TAIWAN SEMICONDUCTOR MFG CO,MARVELL TECHNOLOGY INC,CISCO SYSTEMS INC,8X8 INC,INTEL CORP,EXACT SCIENCES CORP,MICROSOFT CORP,ORACLE CORP,IDEXX LABS INC,PAYCHEX INC,AUTODESK INC,AUTOMATIC DATA PROCESSING,MAXIM INTEGRATED PRODUCTS,MICROCHIP TECHNOLOGY INC,DIODES INC,QUALCOMM INC,INTUIT INC,TEXAS INSTRUMENTS INC,POWER INTEGRATIONS INC,CHECK POINT SOFTWARE TECHN,ADOBE INC,APPLIED MATERIALS INC,SYNOPSYS INC,NETFLIX INC,FORMFACTOR INC,ELECTRONIC ARTS INC,MATCH GROUP INC,BROADCOM INC,IRIDIUM COMMUNICATIONS INC,SPS COMMERCE INC,TESLA INC,NXP SEMICONDUCTORS NV,PACIFIC BIOSCIENCES OF CALIF,PROTO LABS INC,FACEBOOK INC,SPLUNK INC,IOVANCE BIOTHERAPEUTICS INC,WORKDAY INC,FATE THERAPEUTICS INC,2U INC,TWITTER INC,JD.COM INC,ALIBABA GROUP HLDG,SQUARE INC,PURE STORAGE INC,ATLASSIAN CORP PLC,PAYPAL HOLDINGS INC,SHOPIFY INC,TELADOC HEALTH INC,INVITAE CORP,ALARM.COM HOLDINGS INC,ZILLOW GROUP INC,INTELLIA THERAPEUTICS INC,TWILIO INC,CRISPR THERAPEUTICS AG,OKTA INC,SPOTIFY TECHNOLOGY SA,DOCUSIGN INC,ROKU INC,SEA LTD - ADR,NIO INC -ADR,GUARDANT HEALTH INC,TWIST BIOSCIENCE CORP,BIONANO GENOMICS INC,UBER TECHNOLOGIES INC,ZOOM VIDEO COMUNICATIONS INC,PINDUODUO INC -ADR,PAGERDUTY INC,10X GENOMICS INC,PELOTON INTERACTIVE INC,4D MOLECULAR THER INC,VIR BIOTECHNOLOGY INC,BEAM THERAPEUTICS INC,ONECONNECT FIN TECH -ADS,RELAY THERAPEUTICS INC,KE HOLDINGS INC -ADR,UNITY SOFTWARE INC,PALANTIR TECHNOLOG INC,SEER INC,DOORDASH INC,ABCELLERA BIOLOGICS INC,OPENDOOR TECHNOLOGIES INC,QUALTRICS INTERNATION,SANA BIOTCHNOLOGY INC,VIEW INC,ROBLOX CORP,COINBASE GLOBAL INC
INTERCONTINENTAL EXCHANGE,ICE,0.014450215,0.013389386,0.014655551,0.015031475,0.01599399,0.016485196,0.016091691,0.011178754,0.012001597,0.012289006,0.01455393,0.016229887,0.013784398,0.0148825385,0.012214483,0.013348405,0.0107110785,0.0093066245,0.014391169,0.016933858,0.016422996,0.013755024,0.013871272,0.009097354,0.012799978,0.015367265,0.016905813,0.01414991,0.017830156,0.0145688215,0.013641877,0.014061597,0.011548947,0.009998513,0.013295208,0.012957244,0.01643032,0.017870137,0.0137564475,0.011833818,0.012852839,0.012827155,0.010377365,0.011544193,0.009126195,0.009829406,0.015583546,0.013254424,0.014394864,0.014942988,0.0147348065,0.010637584,0.015233026,0.018233757,0.011786939,0.013864933,0.01844264,0.01741887,0.014240383,0.010851856,0.012499091,0.010670653,0.014115776,0.0102733215,0.014956195,0.013048108,0.009557992,0.013481862,0.009935702,0.012902768,0.016048253,0.016753966,0.012616041,0.015079642,0.011751749,0.012531936,0.018458981,0.012318972,0.015280177,0.01825741,0.014330011,0.013385888,0.01446099,0.010825925,0.0121903885,0.016428458,0.012574976,0.012509628,0.011991224,0.01519035,0.015739217,0.0140593015,0.013139034,0.020083621,0.016958972,0.018202377,0.012479346,0.011739928,0.018625468,0.01528393,0.014991034,0.01634404,0.014266087,0.018435849,0.018524865,0.015537538,0.019068435,0.016831191,0.01628874,0.017413488,0.017248033,0.015179164,0.017987082,0.0143218795,0.0151063325,0.014869749,0.015652524
MICROSTRATEGY INC,MSTR,0.015130562,0.014346539,0.015133414,0.01536977,0.01625201,0.016837813,0.016474707,0.012713695,0.013026763,0.013495773,0.01543749,0.016596051,0.014516161,0.015273973,0.012827754,0.014129883,0.012265911,0.010490115,0.015335854,0.016680466,0.016616162,0.014909794,0.013974421,0.010649713,0.013671339,0.01572886,0.017093807,0.015096061,0.017596098,0.015812578,0.0144756595,0.014682219,0.0123557905,0.011266889,0.014085086,0.013574836,0.016782936,0.017957095,0.014723794,0.013350879,0.013843233,0.013949222,0.011751661,0.012609134,0.010584512,0.011623185,0.016277397,0.013968512,0.015024142,0.015640803,0.015561398,0.0118811,0.015955344,0.018061507,0.01276552,0.014377103,0.017948212,0.017591927,0.014518091,0.012330809,0.013357135,0.012024116,0.014696153,0.011492169,0.015863052,0.013263907,0.010816573,0.014641547,0.011323124,0.013159969,0.016209682,0.01736718,0.013652162,0.0157264,0.012609312,0.014016361,0.018346943,0.013415711,0.015420552,0.01798079,0.014859053,0.01371439,0.015123969,0.011820058,0.012988787,0.016797349,0.013420574,0.013169935,0.012662541,0.016045868,0.015755327,0.014928094,0.014600268,0.019017626,0.017445127,0.018802825,0.013666134,0.013261399,0.019307747,0.016721336,0.015667723,0.01684567,0.015321478,0.018978456,0.018700676,0.016466605,0.019287778,0.017253991,0.016869925,0.017699856,0.017746614,0.015619836,0.018407017,0.015007278,0.015639462,0.015568091,0.016068028
XILINX INC,XLNX,0.015464965,0.014237854,0.0155256605,0.01574458,0.01663264,0.017155606,0.017128138,0.012124182,0.012926793,0.013127398,0.015929827,0.016845409,0.014623358,0.0153131,0.01305288,0.014213507,0.011986729,0.010189852,0.01542263,0.017427536,0.016936969,0.014672627,0.014099539,0.010275174,0.013948741,0.015826067,0.017558135,0.015033933,0.018254843,0.015742049,0.014717191,0.014927214,0.012158497,0.011257476,0.013926815,0.013700157,0.016816769,0.018253911,0.014839842,0.012697827,0.013925251,0.013695148,0.011491559,0.012492333,0.010108589,0.011240042,0.016090905,0.013732306,0.0152010415,0.015794095,0.015454836,0.011591744,0.01594856,0.018520383,0.0127289705,0.014558271,0.018495085,0.017775513,0.015021912,0.01193001,0.013676762,0.011970602,0.015213191,0.01137275,0.015898027,0.013866049,0.010565601,0.014619454,0.011204916,0.013826562,0.016755622,0.01783112,0.0136873685,0.016054992,0.012757018,0.013792204,0.018950362,0.013294191,0.015905296,0.019166742,0.01538708,0.014013097,0.015806712,0.011817322,0.013059495,0.017239776,0.013661797,0.013533491,0.012805546,0.016000168,0.016873969,0.015194293,0.014779366,0.020715248,0.018004049,0.019514462,0.014010372,0.013206392,0.019585565,0.01659503,0.016064443,0.017675886,0.015517696,0.01964398,0.019754102,0.016741095,0.020426968,0.018263206,0.017343847,0.018338304,0.018307736,0.015992872,0.019247178,0.015122303,0.015928602,0.015741192,0.016341416
ADVANCED MICRO DEVICES,AMD,0.01963085,0.018354999,0.019705677,0.01998112,0.021008017,0.021582793,0.021444408,0.015952898,0.016849201,0.017097747,0.020018147,0.02115245,0.018734166,0.019602913,0.017015915,0.0183166,0.015823908,0.0139061175,0.019592695,0.021888068,0.02131067,0.018787619,0.018265815,0.0139342435,0.018007107,0.020110205,0.021962319,0.019147579,0.022840833,0.019869803,0.018773979,0.019063609,0.01604475,0.01496327,0.018014252,0.017770767,0.02122908,0.022782285,0.018919794,0.016560169,0.017933832,0.017659582,0.015204965,0.016439576,0.013741324,0.014916884,0.02037799,0.017795902,0.019370586,0.019926421,0.01966336,0.015394454,0.020230118,0.02312137,0.01667289,0.018690597,0.02311365,0.022269726,0.01916463,0.015728002,0.017732263,0.01572682,0.019337375,0.015127766,0.020109052,0.017956834,0.014292317,0.018651603,0.014997511,0.017928813,0.021118114,0.022248551,0.017657094,0.020305773,0.016748054,0.01773812,0.023524944,0.017323261,0.020271176,0.023678128,0.019456182,0.018209394,0.019989384,0.01570769,0.01711503,0.02167455,0.017701214,0.017605616,0.016824048,0.020313011,0.021219771,0.019340014,0.018806297,0.025443522,0.022428498,0.024016716,0.017980821,0.01703269,0.024117185,0.020834604,0.020229714,0.022021139,0.019670688,0.024106225,0.024255354,0.020935632,0.02490645,0.022592891,0.021654388,0.022763014,0.022696739,0.020289328,0.023605775,0.01929744,0.020184362,0.019947246,0.020652693
ANSYS INC,ANSS,0.017781053,0.016581913,0.018050665,0.018405952,0.019430522,0.019984493,0.019622773,0.01409217,0.015120178,0.0153872,0.018026236,0.01968976,0.017060038,0.018187318,0.015422611,0.016631952,0.01378126,0.012163793,0.017741535,0.02051425,0.01980764,0.016945958,0.017234204,0.011944625,0.016091984,0.018661652,0.020433946,0.017439459,0.021415185,0.017884424,0.01698953,0.017341468,0.01459147,0.013047655,0.016495848,0.016196566,0.019905427,0.02141736,0.01704623,0.014828564,0.016149536,0.015984347,0.013343799,0.014674967,0.011974815,0.012830085,0.018900698,0.016415527,0.01771615,0.018246895,0.018030535,0.013586884,0.018614527,0.021845698,0.014924711,0.017108258,0.022092512,0.020881271,0.0177428,0.013806628,0.01581519,0.013821385,0.017501839,0.013289058,0.018283421,0.016430235,0.0124405045,0.016798345,0.012987454,0.016226508,0.019582426,0.020280138,0.015836997,0.018534446,0.014986489,0.015720608,0.022144664,0.015503445,0.018704452,0.022051498,0.017737621,0.016716214,0.017928898,0.013961577,0.015325415,0.020024704,0.015795957,0.015861375,0.015198061,0.018560247,0.01937689,0.01742483,0.01646596,0.02402197,0.020443555,0.021831492,0.015800813,0.014868291,0.022252826,0.0186167,0.018273588,0.019848224,0.01753474,0.022091698,0.022114797,0.018847395,0.02269052,0.020336606,0.019654445,0.020874826,0.020728925,0.018467741,0.021508388,0.017512817,0.018389957,0.018096248,0.018943902
MICRON TECHNOLOGY INC,MU,0.016611483,0.015594284,0.016762516,0.017095882,0.018083546,0.018702816,0.018200202,0.013530045,0.014172579,0.014665658,0.0168989,0.018592969,0.015999258,0.01706941,0.014181716,0.0155519415,0.012953796,0.011275694,0.01671092,0.018882094,0.018539706,0.01614053,0.01602831,0.011148637,0.014844443,0.017559815,0.019142102,0.01657482,0.019855537,0.01708135,0.015841788,0.016188733,0.013711832,0.012130375,0.015545815,0.015030619,0.018862445,0.020201808,0.016036524,0.014364236,0.015174197,0.015240076,0.012602646,0.013677554,0.011323695,0.0122110685,0.01804798,0.015527936,0.016642572,0.017273696,0.0171374,0.012740974,0.01762607,0.02045941,0.01393419,0.01595162,0.020595256,0.019692335,0.016426751,0.013132944,0.01451537,0.0129533885,0.016216826,0.012346822,0.017301764,0.01490485,0.011593279,0.01593415,0.012068464,0.014617529,0.018190896,0.018947937,0.014863425,0.017328221,0.01379205,0.015014069,0.020728791,0.014539206,0.017241303,0.020325739,0.016503435,0.015320701,0.01654363,0.01286,0.0141872,0.01864219,0.014596896,0.014501377,0.013991294,0.01762451,0.017597534,0.016279362,0.015520076,0.021846812,0.019120516,0.020484783,0.014628282,0.01402713,0.021232389,0.017888386,0.01711788,0.018370619,0.016515007,0.020897958,0.020556584,0.017842907,0.021143304,0.018798007,0.018460557,0.019529214,0.019497115,0.017177125,0.020193258,0.016460383,0.017205253,0.017040953,0.017768312
LIVEPERSON INC,LPSN,0.017814381,0.016758617,0.017929455,0.018266061,0.01924793,0.01984525,0.019395584,0.014637905,0.015320854,0.015762405,0.01804844,0.019666659,0.01716234,0.018208236,0.015362791,0.016718049,0.014128418,0.012499686,0.01785156,0.020078192,0.01970233,0.017271811,0.017085351,0.012355278,0.016086193,0.018696066,0.020267002,0.017672876,0.02107038,0.018196156,0.016977934,0.017359627,0.014833936,0.01332452,0.016657015,0.01620468,0.019927416,0.02128297,0.017194977,0.015397684,0.016318435,0.016306793,0.013751633,0.014860627,0.012471417,0.013351901,0.019106613,0.016606221,0.017797077,0.018348746,0.01823072,0.013916932,0.018729197,0.021581728,0.015122406,0.017139377,0.02169314,0.020773027,0.017533174,0.014282505,0.015781786,0.014094123,0.017422318,0.013539475,0.018429311,0.016143933,0.0128180375,0.017023532,0.013304533,0.015926164,0.019356474,0.020153476,0.016016154,0.018499073,0.0150151,0.016112434,0.02184154,0.015729977,0.018494943,0.021514205,0.017649975,0.016557228,0.01780891,0.014076689,0.015455505,0.019798884,0.015857583,0.015743494,0.015221024,0.01876398,0.018917354,0.017462673,0.016744815,0.023115007,0.020372326,0.021712104,0.015856497,0.015173826,0.022321733,0.01904103,0.018319413,0.019669967,0.017753556,0.022057531,0.021849018,0.019027323,0.022407226,0.0201146,0.019686911,0.020758614,0.020703958,0.018442616,0.02139736,0.017665798,0.018423853,0.01824672,0.018974327
MERCADOLIBRE INC,MELI,0.015480262,0.014582388,0.015728526,0.016156573,0.017172037,0.017743127,0.017049395,0.012432483,0.013117429,0.013573779,0.015436249,0.017568992,0.014950679,0.016243018,0.0132267345,0.014493473,0.011698131,0.010340888,0.015518997,0.018090278,0.017726218,0.01502435,0.015268934,0.010045362,0.013737008,0.01672409,0.018125929,0.015422505,0.019077983,0.015773717,0.014662015,0.015117693,0.012799572,0.010868105,0.014628355,0.014087549,0.017952798,0.019318368,0.014845231,0.013231018,0.013929565,0.014115535,0.011421649,0.012638606,0.010225018,0.010818209,0.017103149,0.014660434,0.015562426,0.016112203,0.016081758,0.011719723,0.016571166,0.019680128,0.012853623,0.0150391925,0.019950898,0.018874086,0.0153157385,0.01196891,0.01338355,0.011609553,0.01500774,0.011264614,0.016164472,0.013961463,0.010525856,0.014615893,0.010817618,0.013704479,0.017185742,0.017813291,0.013688766,0.016182106,0.012718914,0.013617939,0.019803854,0.013449488,0.016387744,0.019161167,0.015292115,0.014494057,0.015207251,0.011824617,0.013212833,0.017601246,0.013496917,0.013413327,0.013039589,0.01648169,0.016431578,0.015032425,0.013954332,0.020918388,0.01799575,0.019144552,0.013213444,0.012626067,0.01996092,0.01645671,0.01595368,0.017116629,0.015237093,0.019504273,0.019333743,0.016565615,0.019838518,0.017512845,0.017302068,0.018468615,0.018315127,0.016240077,0.018894034,0.01546586,0.016216444,0.01600985,0.016835354
ONTO INNOVATION INC,ONTO,0.01697364,0.015866624,0.017040426,0.017358575,0.018376308,0.018949654,0.018646115,0.013703205,0.014377125,0.014743244,0.01726319,0.018621948,0.016180245,0.017132604,0.01442099,0.015738374,0.013311423,0.011514259,0.017002303,0.019123277,0.018751096,0.016356166,0.015802605,0.011532299,0.0152779035,0.017654248,0.019328287,0.016669761,0.02010846,0.017335009,0.016136829,0.016490981,0.013694701,0.012409986,0.015586461,0.015202685,0.018752353,0.020242544,0.016326986,0.014347085,0.015344703,0.0152816605,0.012808706,0.013917403,0.011432481,0.012469315,0.018006047,0.015457289,0.016810942,0.017460017,0.017225811,0.0130046215,0.017722825,0.020496733,0.014148514,0.016145034,0.020495582,0.019790981,0.016464842,0.01337084,0.014953676,0.013166102,0.016606316,0.012622201,0.017576238,0.015172519,0.011873234,0.01610868,0.012420371,0.015098477,0.018398806,0.019474521,0.0150974365,0.017612167,0.014087222,0.01526843,0.020825097,0.014778843,0.017547574,0.020716725,0.016761849,0.015535918,0.01711296,0.013113428,0.014530076,0.018915262,0.015023161,0.014839369,0.014203169,0.01778569,0.018167932,0.016663631,0.016063033,0.02232326,0.019654468,0.021153525,0.015196345,0.014485321,0.02147767,0.018280227,0.017608548,0.019109795,0.017018491,0.0213118,0.021337865,0.018331144,0.021973822,0.01964811,0.018982591,0.0200411,0.0199727,0.017643297,0.020820202,0.01678903,0.017591575,0.017411444,0.018100891
ASML HOLDING NV,ASML,0.016245637,0.01530865,0.016565327,0.016969338,0.017946025,0.018518785,0.017966334,0.012966172,0.013823696,0.014161054,0.016299477,0.018223355,0.01569286,0.016909068,0.014037195,0.015248652,0.012468447,0.011006815,0.016311515,0.018972088,0.018424407,0.015655452,0.015955336,0.010763861,0.014596922,0.017356148,0.018895991,0.016068777,0.019893916,0.016468704,0.01550236,0.015872296,0.013378019,0.011641176,0.015263436,0.0148273455,0.018582337,0.01997463,0.0156050315,0.013720762,0.01470294,0.014711247,0.012066977,0.01338303,0.010820455,0.011517157,0.017662423,0.015237152,0.0162847,0.01674852,0.016710605,0.012404334,0.017262734,0.020407178,0.013601734,0.015752835,0.020671938,0.019517343,0.01615565,0.012574504,0.014320496,0.012408928,0.015867004,0.011985751,0.016868955,0.014884138,0.011174551,0.015313395,0.011573988,0.014669784,0.017997693,0.018719671,0.014422789,0.016999744,0.013561943,0.01429431,0.020591691,0.014191696,0.017230483,0.020146681,0.016116338,0.015336651,0.016155723,0.012615121,0.013953278,0.018449958,0.014332504,0.014363948,0.013839721,0.017166253,0.017522706,0.01586168,0.014813163,0.022010528,0.018821908,0.020068364,0.014186788,0.013404264,0.020656329,0.017149912,0.016674563,0.018040726,0.015978582,0.020287056,0.020214489,0.017274983,0.020741668,0.018464107,0.018016554,0.019223062,0.019048551,0.016988155,0.019713638,0.016103573,0.016916111,0.016647935,0.01749808
NVIDIA CORP,NVDA,0.018627247,0.017645556,0.018920155,0.019252181,0.020224813,0.02088562,0.020403687,0.015314859,0.016152821,0.016558396,0.018952964,0.020637821,0.018059965,0.01915271,0.01627672,0.017627168,0.014937386,0.013154489,0.01881195,0.021186812,0.020637507,0.01808603,0.018185938,0.013033508,0.016957799,0.019587629,0.02129038,0.01854799,0.022111375,0.01906281,0.017963892,0.018208802,0.0155939255,0.014046968,0.017559612,0.017090758,0.020983264,0.022325817,0.018065559,0.016160356,0.017217081,0.017142601,0.014433727,0.015706152,0.013116713,0.014070376,0.020048195,0.017500961,0.018674701,0.019177316,0.019133987,0.01465997,0.019712776,0.022694906,0.015944837,0.017990842,0.022878222,0.021802465,0.01859913,0.014946085,0.016707538,0.014944314,0.018291464,0.0142791085,0.019324752,0.017123444,0.013401042,0.017899882,0.013984528,0.01683122,0.020363433,0.021183293,0.016853087,0.019469058,0.015902886,0.016903797,0.02298665,0.016579105,0.019447891,0.022612166,0.018566826,0.017536847,0.018661013,0.014915178,0.016179677,0.020894857,0.016659379,0.016736165,0.01609171,0.019665513,0.019914117,0.018353425,0.017510332,0.024275461,0.02122462,0.022659484,0.016756255,0.01594779,0.023307977,0.019834511,0.019023614,0.0204666,0.018443266,0.02293895,0.022610588,0.019748226,0.023196025,0.020873817,0.020387087,0.02154895,0.021483053,0.019197721,0.022191921,0.01835892,0.01917787,0.018933691,0.019731663
BOOKING HOLDINGS INC,BKNG,0.018696947,0.017700026,0.01879025,0.019054623,0.020073183,0.020626068,0.020376874,0.01547582,0.016212963,0.016471718,0.018917346,0.020065475,0.017896434,0.018758526,0.016326085,0.017554773,0.015383515,0.0135119725,0.018761458,0.020784348,0.020319682,0.018068338,0.01741196,0.013610056,0.017323004,0.019179067,0.02081176,0.018282104,0.02168476,0.019010905,0.01795559,0.01817241,0.0153797325,0.0143478075,0.017334739,0.017061185,0.02022671,0.02165226,0.018096408,0.016011659,0.017101467,0.016942054,0.014617599,0.015890615,0.01330478,0.01441885,0.019496525,0.01707939,0.018423935,0.018912707,0.018807458,0.014913054,0.019345172,0.02195964,0.01600401,0.01784702,0.021918321,0.021256357,0.018142547,0.015201846,0.01704193,0.015069737,0.018346539,0.014633168,0.01925643,0.017115949,0.013816752,0.017828554,0.014481028,0.017156046,0.020048626,0.021291856,0.016913073,0.019362517,0.016119689,0.017023461,0.02227832,0.016713364,0.019345174,0.022252252,0.018399637,0.017472468,0.018952549,0.015186169,0.016454287,0.020730317,0.016968818,0.016879598,0.016165713,0.019407777,0.02004367,0.018464044,0.017947102,0.02381429,0.021331811,0.02278395,0.017218512,0.016386319,0.022889268,0.019926528,0.019225683,0.020903427,0.018771343,0.022714945,0.02288401,0.01989597,0.023468556,0.02136848,0.02054901,0.021577416,0.021501917,0.01937277,0.02224544,0.018422542,0.019251829,0.019023608,0.019669203
ALPHABET INC,GOOGL,0.015635602,0.014501809,0.015834825,0.016169537,0.017119579,0.01760203,0.017410109,0.012119059,0.013066037,0.013187243,0.015777873,0.017121674,0.01484038,0.015795328,0.013357585,0.01441877,0.011912346,0.01036294,0.015546436,0.018103845,0.01748304,0.014777323,0.014608626,0.010291726,0.014131794,0.016290372,0.017946538,0.015099747,0.018957712,0.015671007,0.014839335,0.015164139,0.012367749,0.0111285765,0.014217835,0.01400706,0.017219225,0.018758915,0.014909895,0.012631667,0.013913195,0.013719261,0.011401772,0.012662428,0.010046113,0.010930095,0.01639327,0.014048494,0.015403826,0.015892899,0.015656104,0.011724308,0.016198102,0.019178376,0.012862477,0.014916376,0.01929029,0.018347675,0.015226268,0.011869432,0.0138646215,0.011786038,0.015339449,0.011420674,0.016054347,0.014256865,0.010599053,0.014507965,0.011103715,0.014285622,0.017137202,0.018153755,0.013720087,0.016250383,0.0129449,0.013577672,0.019478468,0.013428068,0.01645666,0.019531284,0.015471552,0.014526658,0.015855422,0.011981881,0.013333284,0.017615454,0.0138489865,0.013782342,0.01310342,0.016164767,0.017204775,0.01526994,0.014483834,0.021450125,0.018299025,0.019675547,0.013920628,0.013007442,0.019701522,0.016445538,0.016210273,0.017864654,0.015524412,0.01965018,0.020027552,0.016767114,0.020627953,0.01844346,0.017533872,0.01868585,0.018495282,0.016412908,0.01937165,0.015393186,0.016258819,0.015984397,0.01673601
ANALOG DEVICES,ADI,0.013181861,0.011867891,0.013351299,0.013709998,0.014615183,0.015184037,0.014812981,0.009769977,0.010583737,0.011040627,0.013652898,0.015394303,0.012558215,0.013629504,0.010704145,0.01202784,0.009067668,0.007591472,0.013111804,0.01563883,0.0151607515,0.012458136,0.012839154,0.0072812103,0.011131846,0.014209565,0.015929237,0.013129893,0.016568448,0.013471313,0.012336912,0.01280001,0.010349639,0.0086443,0.011967637,0.011527127,0.015522986,0.016938694,0.012497714,0.010693346,0.011744956,0.011728308,0.009065734,0.009936886,0.007726997,0.008474719,0.014588259,0.012085203,0.013308658,0.014043867,0.013643706,0.009033502,0.014120352,0.01720666,0.010394031,0.012546915,0.017490877,0.016292522,0.01331054,0.009448131,0.010810174,0.00943583,0.012924128,0.008667658,0.013716012,0.01157555,0.007989409,0.012431387,0.008360827,0.011135306,0.014918202,0.015261992,0.0113208145,0.013851967,0.010153696,0.011402417,0.017547883,0.010812233,0.013801518,0.01737347,0.013348668,0.011782832,0.013149662,0.009172106,0.010570402,0.015073139,0.011005261,0.010928881,0.010444394,0.014092345,0.01437335,0.01276164,0.011878043,0.019104317,0.015639283,0.01699821,0.010979291,0.010338763,0.017817635,0.014191058,0.013761658,0.014910949,0.012945879,0.0177064,0.01732694,0.014413854,0.017967934,0.0154561605,0.015096823,0.016219076,0.016159484,0.013672786,0.017043905,0.013009135,0.013748869,0.013587044,0.014382701
ADVANCED ENERGY INDS INC,AEIS,0.015577784,0.014612767,0.015760848,0.016147474,0.017163588,0.01772487,0.017248312,0.01238474,0.013092115,0.013447264,0.015643157,0.017361023,0.014899326,0.016023321,0.013205759,0.0144513305,0.011875647,0.010297022,0.015619257,0.01801264,0.017614635,0.015013854,0.014810021,0.01019559,0.013914163,0.016518584,0.01805634,0.015319762,0.018986585,0.01586139,0.014762346,0.015158402,0.012521802,0.010959042,0.014425145,0.013990623,0.01761379,0.019081665,0.014929843,0.013046607,0.01393139,0.013972197,0.011418646,0.012645632,0.0101197,0.010941649,0.01682973,0.014342786,0.0154942665,0.016065653,0.015949892,0.0117409,0.01645801,0.019423025,0.012842299,0.014941816,0.019538756,0.018678721,0.015168138,0.011985071,0.013586972,0.011691158,0.015158242,0.011300084,0.01621285,0.01394878,0.010530998,0.014627631,0.010946496,0.013859783,0.017126704,0.01809549,0.013714972,0.016240435,0.012775232,0.013722407,0.01964116,0.013464273,0.016369585,0.019296614,0.015339336,0.014408426,0.015537086,0.011832336,0.013243196,0.017625766,0.013654621,0.013522495,0.012983679,0.016429417,0.016722836,0.015197775,0.01433938,0.02104309,0.018231234,0.019572772,0.013614782,0.01291747,0.020003375,0.016679697,0.016146604,0.017550154,0.01548016,0.019697364,0.019764554,0.016799333,0.020344602,0.018042909,0.017506445,0.018642547,0.018491993,0.01635542,0.019243704,0.015473702,0.016279059,0.016060937,0.016829861
BAIDU INC,BIDU,0.011121077,0.010328398,0.011295075,0.0116227055,0.0123951705,0.012983655,0.012597838,0.008569284,0.009013385,0.009435163,0.011427414,0.012896864,0.010639325,0.01152437,0.008909174,0.010140543,0.007911934,0.0063592624,0.011332289,0.013096316,0.012935631,0.010829083,0.010428461,0.0063795447,0.009442998,0.012048227,0.013445518,0.011159193,0.013976707,0.011720009,0.010507742,0.010782984,0.008484871,0.0070866295,0.010163827,0.009594953,0.013106368,0.014335312,0.010690204,0.009291475,0.009830539,0.009970795,0.0076491516,0.008455469,0.0064457003,0.0072860303,0.012512159,0.010188726,0.011180502,0.011814522,0.011676711,0.0078079896,0.012088137,0.014529601,0.008751828,0.010555143,0.014579213,0.013952484,0.010756799,0.008131845,0.009162453,0.007890216,0.01072789,0.007293205,0.011855558,0.009363822,0.006593582,0.010504419,0.006921594,0.009151776,0.012397645,0.013365177,0.009568581,0.01173941,0.008443932,0.00978377,0.014797509,0.009247665,0.011567768,0.014322112,0.011042844,0.009798716,0.010972357,0.0076219365,0.008841818,0.012799894,0.009302793,0.009096569,0.008634469,0.012056328,0.011806682,0.010819351,0.010193245,0.015590541,0.013461952,0.014813824,0.009415031,0.009000009,0.015419055,0.012505846,0.011669326,0.0127075715,0.011112215,0.015058402,0.014759217,0.012445098,0.015406966,0.0132164145,0.012876322,0.01384127,0.013788193,0.011651163,0.014617076,0.011033539,0.011678898,0.011584348,0.012205196
EBAY INC,EBAY,0.019355154,0.018192055,0.019454684,0.019708736,0.02072669,0.021251315,0.021095222,0.01585773,0.016746493,0.016939389,0.019643534,0.020726014,0.018489046,0.019335693,0.016958972,0.018141976,0.015836522,0.014005005,0.019319503,0.021547722,0.020948658,0.01854461,0.018069062,0.014043741,0.017944504,0.019773204,0.021510476,0.018837499,0.022421485,0.019524468,0.01857304,0.018810878,0.015942192,0.014944011,0.017853912,0.017670086,0.020817602,0.022300242,0.018674769,0.016388591,0.017714234,0.017445268,0.015133736,0.016417736,0.013771218,0.014880376,0.020002153,0.017599203,0.019056879,0.019547546,0.019340321,0.015380811,0.019896604,0.022645175,0.016566042,0.018468043,0.022649413,0.02184756,0.018906312,0.015655564,0.017677628,0.015642174,0.019075843,0.015168673,0.019803016,0.017879868,0.014341733,0.018405525,0.015040442,0.01790451,0.020784903,0.021898177,0.017494714,0.02001468,0.016736567,0.017526876,0.023006666,0.01723212,0.020039659,0.023167288,0.019138694,0.018129665,0.01972032,0.015761083,0.017050127,0.021391816,0.01759066,0.017549664,0.01678496,0.01995785,0.020933254,0.019103406,0.01855573,0.024879357,0.022006145,0.023473686,0.017847909,0.016905213,0.023501083,0.020408912,0.019892769,0.02166069,0.01937327,0.02346491,0.023703553,0.020510018,0.024289507,0.022162085,0.021225791,0.022289375,0.022203606,0.02001658,0.022999754,0.019022694,0.019886449,0.019627612,0.020304838
