,,SALESFORCE.COM INC,NVIDIA CORP,ALPHABET INC,AMAZON.COM INC,TAIWAN SEMICONDUCTOR MFG CO,MICROSOFT CORP,NETFLIX INC,TESLA INC,PACIFIC BIOSCIENCES OF CALIF,FACEBOOK INC,ALIBABA GROUP HLDG,PAYPAL HOLDINGS INC,GUARDANT HEALTH INC,BIONANO GENOMICS INC,UBER TECHNOLOGIES INC,4D MOLECULAR THER INC,VIR BIOTECHNOLOGY INC,ONECONNECT FIN TECH -ADS,RELAY THERAPEUTICS INC,KE HOLDINGS INC -ADR,SEER INC,DOORDASH INC,ABCELLERA BIOLOGICS INC,OPENDOOR TECHNOLOGIES INC,QUALTRICS INTERNATION,SANA BIOTCHNOLOGY INC,VIEW INC
,,CRM,NVDA,GOOGL,AMZN,TSM,MSFT,NFLX,TSLA,PACB,FB,BABA,PYPL,GH,BNGO,UBER,FDMT,VIR,OCFT,RLAY,BEKE,SEER,DASH,ABCL,OPEN,XM,SANA,VIEW
UBER TECHNOLOGIES INC,UBER,0.022316074,0.021034075,0.019142417,0.019936964,0.018627563,0.020883778,0.022358323,0.017811574,0.018775305,0.020112853,0.017702516,0.022554165,0.01912288,0.023211036,0.021968802,0.019854613,0.021342797,0.023094736,0.023102624,0.020667177,0.021142729,0.02205702,0.022021316,0.020080056,0.022621064,0.019203171,0.019934399
4D MOLECULAR THER INC,FDMT,0.020012842,0.018832307,0.017506639,0.018131087,0.016843682,0.018991241,0.020150926,0.016093643,0.016816521,0.018274173,0.016096821,0.02024302,0.017273141,0.020356864,0.019687882,0.017833123,0.01901358,0.020628097,0.0204674,0.018594315,0.018955085,0.019720646,0.019727807,0.01808293,0.020077994,0.017383976,0.017990202
VIR BIOTECHNOLOGY INC,VIR,0.021729795,0.020536486,0.01917184,0.01982551,0.01841897,0.02082176,0.022015348,0.017578747,0.018307166,0.019957745,0.017610064,0.022087628,0.018830122,0.021993108,0.021380417,0.0193526,0.02055097,0.022369608,0.022075707,0.020221,0.020551953,0.021381283,0.021386467,0.019669522,0.021751627,0.018946294,0.01957545
ONECONNECT FIN TECH -ADS,OCFT,0.01996023,0.018767381,0.016934222,0.017704984,0.01655234,0.018403241,0.019855637,0.015862266,0.01673261,0.01786732,0.01565141,0.020077301,0.017025221,0.020932531,0.019730141,0.01774799,0.019247739,0.020722464,0.020906772,0.018505175,0.01894595,0.019800318,0.019741653,0.017943783,0.020417865,0.017059831,0.017764958
RELAY THERAPEUTICS INC,RLAY,0.021807706,0.020508604,0.01966535,0.02032368,0.018964812,0.020673962,0.021720184,0.018379541,0.018760419,0.0203665,0.01821327,0.021837482,0.019397799,0.021670628,0.021700049,0.01977975,0.02110821,0.022454087,0.022336004,0.020645438,0.0208701,0.021551253,0.021604348,0.02003879,0.021939147,0.019300006,0.019906955
KE HOLDINGS INC -ADR,BEKE,0.02144192,0.020056693,0.018500326,0.01925917,0.01799977,0.019762075,0.021164656,0.017395642,0.018171886,0.01940408,0.017170124,0.021370335,0.018549072,0.022113169,0.021253103,0.019292051,0.020845126,0.022191394,0.022433463,0.020042641,0.020501537,0.021294367,0.021278415,0.01946996,0.02184452,0.018585598,0.019293265
SEER INC,SEER,0.020790448,0.019560575,0.018168613,0.018836759,0.017616604,0.019432014,0.020702671,0.016996264,0.01762235,0.018985363,0.016799828,0.0208456,0.01807902,0.02123297,0.020583203,0.018652264,0.020053735,0.021408023,0.021496816,0.019416492,0.019790469,0.020565394,0.020542767,0.018908933,0.02100447,0.01808944,0.018747572
DOORDASH INC,DASH,0.022357125,0.021016806,0.019533494,0.020313233,0.018990422,0.020924317,0.02224265,0.018307613,0.01904807,0.020419113,0.018141054,0.02244151,0.019488214,0.022902485,0.022124268,0.020096624,0.021592166,0.023125442,0.023135088,0.020913467,0.021304604,0.022114517,0.022129871,0.020295978,0.02264193,0.019455412,0.020154152
ABCELLERA BIOLOGICS INC,ABCL,0.01899391,0.017819593,0.016153824,0.016881682,0.015723702,0.01750732,0.018902222,0.015040545,0.015812319,0.017042601,0.014829531,0.019095797,0.01616492,0.019769209,0.01879724,0.016841339,0.018290618,0.019689476,0.019873532,0.017609894,0.018003725,0.018834574,0.018769069,0.017059583,0.019413888,0.016192665,0.016879424
OPENDOOR TECHNOLOGIES INC,OPEN,0.020877425,0.019644102,0.017510654,0.018331075,0.017110385,0.01933677,0.02091419,0.016231686,0.01730753,0.018549819,0.016115114,0.021143705,0.017584225,0.022041893,0.020494157,0.018386448,0.01990811,0.021668548,0.021764468,0.019171871,0.019677535,0.020637704,0.020569142,0.018578079,0.021280266,0.017662447,0.018425845
QUALTRICS INTERNATION,XM,0.024887659,0.023326883,0.022490054,0.02328104,0.021802131,0.023499146,0.024561873,0.021283314,0.02178672,0.02325824,0.021111472,0.024761261,0.022385072,0.02485725,0.024773143,0.022835651,0.024338987,0.025745489,0.025619091,0.023684992,0.02399495,0.024637269,0.02477966,0.022970274,0.02508433,0.022216007,0.022861622
SANA BIOTCHNOLOGY INC,SANA,0.01998072,0.01874172,0.016637333,0.01742998,0.01623804,0.01841527,0.019973058,0.01537984,0.016486479,0.017659359,0.015290925,0.020197634,0.01672889,0.021162916,0.019594494,0.017580867,0.019057449,0.02076377,0.020907784,0.01831625,0.0188454,0.019775119,0.019707998,0.017742477,0.020398408,0.016854733,0.017598532
VIEW INC,VIEW,0.019995332,0.018780936,0.016623924,0.017439641,0.01626593,0.018430647,0.020005852,0.015397621,0.016496865,0.017662643,0.015285835,0.020243471,0.016739879,0.021225758,0.01961086,0.017563263,0.01906733,0.020792704,0.020919016,0.018315302,0.018833071,0.019776449,0.019707384,0.017727578,0.020429723,0.016822593,0.01757764
